DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,IATA_x,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,SNOW,SNWD,label,DEP_HOUR,MONTH,DOW,IS_WEEKEND,date,IATA_y,AWND_ORIGIN,PGTM_ORIGIN,PRCP_ORIGIN,TAVG_ORIGIN,TMAX_ORIGIN,TMIN_ORIGIN,WDF2_ORIGIN,WDF5_ORIGIN,WSF2_ORIGIN,WSF5_ORIGIN,WT01_ORIGIN,WT02_ORIGIN,WT03_ORIGIN,WT05_ORIGIN,WT08_ORIGIN,SNOW_ORIGIN,SNWD_ORIGIN,AWND_DEST,PGTM_DEST,PRCP_DEST,TAVG_DEST,TMAX_DEST,TMIN_DEST,WDF2_DEST,WDF5_DEST,WSF2_DEST,WSF5_DEST,WT01_DEST,WT02_DEST,WT03_DEST,WT05_DEST,WT08_DEST,SNOW_DEST,SNWD_DEST
1.0,6/3/2024 12:00:00 AM,AA,19805.0,N772XF,1432.0,12892.0,1289208.0,32575.0,LAX,"Los Angeles, CA",CA,6.0,California,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,2055.0,2237.0,102.0,16.0,2253.0,2352.0,6.0,2220.0,2358.0,98.0,0.0,,0.0,85.0,81.0,59.0,1.0,337.0,4.0,0.0,0.0,0.0,94.0,,,,,,,,,,,,,,,,,,,,,1,20,6,0,0,2024-06-03,LAX,6.71,0.0,0.0,62.0,68.0,58.0,260.0,270.0,14.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AA,19805.0,N830AW,1423.0,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,12892.0,1289208.0,32575.0,LAX,"Los Angeles, CA",CA,6.0,California,710.0,705.0,-5.0,9.0,714.0,809.0,51.0,838.0,900.0,22.0,0.0,,0.0,88.0,115.0,55.0,1.0,337.0,0.0,0.0,22.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,7,6,0,0,2024-06-03,SFO,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.71,0.0,0.0,62.0,68.0,58.0,260.0,270.0,14.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AS,19930.0,N260AK,716.0,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,14679.0,1467903.0,33570.0,SAN,"San Diego, CA",CA,6.0,California,810.0,807.0,-3.0,14.0,821.0,930.0,30.0,950.0,1000.0,10.0,0.0,,0.0,100.0,113.0,69.0,1.0,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,6,0,0,2024-06-03,SFO,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.16,0.0,0.0,63.0,68.0,60.0,210.0,240.0,13.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AS,19930.0,N303AS,714.0,14679.0,1467903.0,33570.0,SAN,"San Diego, CA",CA,6.0,California,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,1046.0,1043.0,-3.0,41.0,1124.0,1247.0,9.0,1226.0,1256.0,30.0,0.0,,0.0,100.0,133.0,83.0,1.0,447.0,0.0,0.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,10,6,0,0,2024-06-03,SAN,7.16,0.0,0.0,63.0,68.0,60.0,210.0,240.0,13.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AS,19930.0,N433AS,717.0,14679.0,1467903.0,33570.0,SAN,"San Diego, CA",CA,6.0,California,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,2040.0,2100.0,20.0,31.0,2131.0,2236.0,9.0,2214.0,2245.0,31.0,0.0,,0.0,94.0,105.0,65.0,1.0,447.0,0.0,0.0,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,20,6,0,0,2024-06-03,SAN,7.16,0.0,0.0,63.0,68.0,60.0,210.0,240.0,13.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AS,19930.0,N611AS,171.0,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,12892.0,1289208.0,32575.0,LAX,"Los Angeles, CA",CA,6.0,California,1755.0,1755.0,0.0,16.0,1811.0,1908.0,9.0,1936.0,1917.0,-19.0,0.0,,0.0,101.0,82.0,57.0,1.0,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,6,0,0,2024-06-03,SFO,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.71,0.0,0.0,62.0,68.0,58.0,260.0,270.0,14.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AS,19930.0,N611AS,172.0,12892.0,1289208.0,32575.0,LAX,"Los Angeles, CA",CA,6.0,California,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,2115.0,2111.0,-4.0,31.0,2142.0,2239.0,17.0,2242.0,2256.0,14.0,0.0,,0.0,87.0,105.0,57.0,1.0,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,6,0,0,2024-06-03,LAX,6.71,0.0,0.0,62.0,68.0,58.0,260.0,270.0,14.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AS,19930.0,N611AS,427.0,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,12892.0,1289208.0,32575.0,LAX,"Los Angeles, CA",CA,6.0,California,1250.0,1253.0,3.0,14.0,1307.0,1401.0,5.0,1430.0,1406.0,-24.0,0.0,,0.0,100.0,73.0,54.0,1.0,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,6,0,0,2024-06-03,SFO,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.71,0.0,0.0,62.0,68.0,58.0,260.0,270.0,14.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AS,19930.0,N611AS,428.0,12892.0,1289208.0,32575.0,LAX,"Los Angeles, CA",CA,6.0,California,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,1531.0,1517.0,-14.0,27.0,1544.0,1650.0,4.0,1658.0,1654.0,-4.0,0.0,,0.0,87.0,97.0,66.0,1.0,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,6,0,0,2024-06-03,LAX,6.71,0.0,0.0,62.0,68.0,58.0,260.0,270.0,14.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,6/3/2024 12:00:00 AM,AS,19930.0,N983AK,713.0,14771.0,1477104.0,32457.0,SFO,"San Francisco, CA",CA,6.0,California,14679.0,1467903.0,33570.0,SAN,"San Diego, CA",CA,6.0,California,1324.0,1326.0,2.0,19.0,1345.0,1451.0,3.0,1504.0,1454.0,-10.0,0.0,,0.0,100.0,88.0,66.0,1.0,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,6,0,0,2024-06-03,SFO,18.34,0.0,0.0,61.0,69.0,54.0,290.0,280.0,29.1,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.16,0.0,0.0,63.0,68.0,60.0,210.0,240.0,13.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
