IATA,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/1,3.13,,0,47,52,39,10,10,12.1,14.1,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/2,4.25,,0,43,53,35,200,180,10.1,13,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/3,10.74,,0.27,51,55,47,200,200,23.9,32,1,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/4,4.7,,0.15,53,59,51,260,260,13,17,1,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/5,3.8,,0,53,58,51,330,310,12.1,13,1,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/6,3.36,,0,54,55,52,40,360,10.1,11,1,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/7,9.17,,0,53,57,50,280,290,21.9,25.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/8,4.03,,0,51,56,45,140,150,12.1,15,1,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/9,3.58,,0,50,57,41,120,120,10.1,12.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/10,2.91,,0,52,61,47,110,120,8.1,10.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/11,2.24,,0,51,60,44,10,10,10.1,12.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/12,2.91,,0,53,58,44,70,60,8.9,10.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/13,4.7,,0,53,58,47,280,280,21,23.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/14,2.91,,0,52,62,46,20,20,8.9,11,1,1,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/15,4.47,,0,53,63,47,110,160,10.1,13,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/16,2.24,,0,55,59,51,30,20,10.1,12.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/17,5.37,,0,53,59,48,290,280,16.1,19.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/18,7.61,,0,52,60,45,290,290,17,21,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/19,5.82,,0,50,59,45,300,290,17,21.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/20,3.8,,0,49,60,45,290,280,14.1,17,1,1,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/21,4.7,,0,53,66,44,50,50,18.1,23.9,1,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/22,10.29,,0,59,63,49,70,70,29.1,32,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/23,3.13,,0,53,64,43,290,290,12.1,17,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/24,6.04,,0,51,61,42,290,300,21.9,28,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/25,7.16,,0,51,58,44,290,280,21.9,36,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/26,3.13,,0,49,61,44,210,190,8.1,8.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/27,2.01,,0,51,64,41,140,130,6.9,8.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/28,2.24,,0,53,64,43,100,120,6.9,8.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/29,3.58,,0,52,60,44,280,290,21,23.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/30,8.5,,0,51,58,43,290,300,18.1,23,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/1/31,5.37,,0,51,58,45,280,290,18.1,21.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/1,11.18,,0,50,60,40,360,10,25.1,35.1,1,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/2,13.2,,0,57,61,48,360,360,32,40,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/3,5.37,,0,52,64,42,290,300,18.1,23.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/4,3.13,,0,51,63,43,290,300,14.1,18.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/5,4.47,,0,51,60,44,330,290,10.1,13,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/6,6.04,,0,51,67,41,290,300,19.9,25.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/7,3.8,,0,51,68,42,290,300,14.1,17,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/8,2.91,,0,54,71,44,290,300,12.1,14.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/9,4.25,,0,60,73,48,130,160,8.9,11,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/10,4.92,,0,62,78,52,140,140,15,18.1,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/11,5.14,,0,60,71,51,290,280,15,18.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/12,2.68,,0,60,73,51,30,10,6.9,10.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/13,6.04,,0,59,72,49,300,290,18.1,23.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/14,14.09,,0,54,55,49,290,290,25.9,34,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/15,14.32,,0,52,60,44,300,310,23.9,35.1,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/16,11.86,,0,55,66,47,290,290,25.9,33.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/17,5.59,,0,59,69,48,290,10,17,21.9,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/18,5.37,,0,53,64,45,300,300,17,23,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/19,6.49,,0,55,67,46,290,290,19.9,25.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/20,17.9,,0,53,57,46,290,280,38.9,47,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/21,16.78,,0,51,56,45,280,290,32,40.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/22,15.43,,0.01,49,55,43,280,290,30,38.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/23,10.07,,0,46,55,38,280,280,18.1,25.1,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/24,6.93,,0,47,56,37,290,290,21,28,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/25,5.59,,0,47,61,38,290,290,21.9,25.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/26,3.58,,0,49,58,39,280,280,13,15,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/27,6.04,,0,54,67,44,290,290,17,19.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/2/28,6.71,,0,55,70,45,290,290,21,25.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/1,8.05,,0,57,67,48,290,290,21,23.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/2,5.37,,0,55,69,50,290,290,15,19,1,1,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/3,6.26,,0.12,54,56,50,290,290,16.1,18.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/4,20.58,,0.09,53,57,46,290,290,40,49,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/5,11.86,,0,49,57,45,300,310,25.9,40,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/6,7.16,,0,51,60,43,270,280,19.9,23.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/7,6.71,,0,51,66,41,300,360,19.9,25.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/8,6.93,,0,56,73,45,280,290,21,25.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/9,16.78,,0,55,61,46,280,280,36,45,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/10,11.86,,0,54,66,46,290,340,21.9,28,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/11,6.26,,0,54,70,42,300,290,18.1,21.9,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/12,9.4,,0,52,62,42,280,290,25.9,34,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/13,11.18,,0,55,63,51,280,290,19.9,23,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/14,6.49,,0,54,69,45,290,290,23,28,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/15,11.18,,0.02,60,66,51,280,290,25.1,31.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/16,14.09,,0,55,63,49,280,280,23.9,30,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/17,10.51,,0,54,61,50,280,290,21,30,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/18,8.95,,0,54,67,46,290,290,23.9,28,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/19,10.07,,0.07,54,58,50,290,290,25.9,35.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/20,15.88,,0,53,61,47,270,270,29.1,38,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/21,11.86,,0,55,65,49,280,280,28,35.1,,,,,1
